Time: 2023-05-15 23:24:51 || Emotion: Fear
Time: 2023-05-15 23:24:51 || Emotion: Fear
Time: 2023-05-15 23:24:51 || Emotion: Fear
Time: 2023-05-15 23:24:51 || Emotion: Fear
Time: 2023-05-15 23:24:51 || Emotion: Fear
Time: 2023-05-15 23:24:51 || Emotion: Fear
Time: 2023-05-15 23:24:52 || Emotion: Fear
Time: 2023-05-15 23:24:52 || Emotion: Fear
Time: 2023-05-15 23:24:52 || Emotion: Fear
Time: 2023-05-15 23:24:52 || Emotion: Happy
Time: 2023-05-15 23:24:52 || Emotion: Happy
Time: 2023-05-15 23:24:53 || Emotion: Fear
Time: 2023-05-15 23:24:53 || Emotion: Fear
Time: 2023-05-15 23:24:53 || Emotion: Fear
Time: 2023-05-15 23:24:53 || Emotion: Fear
Time: 2023-05-15 23:24:53 || Emotion: Fear
Time: 2023-05-15 23:24:54 || Emotion: Fear
Time: 2023-05-15 23:24:54 || Emotion: Fear
Time: 2023-05-15 23:24:54 || Emotion: Happy
Time: 2023-05-15 23:24:54 || Emotion: Angry
Time: 2023-05-15 23:24:54 || Emotion: Fear
Time: 2023-05-15 23:24:55 || Emotion: Fear
Time: 2023-05-15 23:24:55 || Emotion: Surprise
Time: 2023-05-15 23:24:55 || Emotion: Surprise
Time: 2023-05-15 23:24:55 || Emotion: Fear
Time: 2023-05-15 23:24:55 || Emotion: Surprise
Time: 2023-05-15 23:24:56 || Emotion: Surprise
Time: 2023-05-15 23:24:56 || Emotion: Surprise
Time: 2023-05-15 23:24:56 || Emotion: Happy
Time: 2023-05-15 23:24:56 || Emotion: Fear
Time: 2023-05-15 23:24:57 || Emotion: Fear
Time: 2023-05-15 23:24:57 || Emotion: Fear
Time: 2023-05-15 23:24:57 || Emotion: Fear
Time: 2023-05-15 23:25:31 || Emotion: Fear
Time: 2023-05-15 23:25:32 || Emotion: Fear
Time: 2023-05-15 23:25:32 || Emotion: Fear
Time: 2023-05-15 23:25:32 || Emotion: Fear
Time: 2023-05-15 23:25:32 || Emotion: Fear
Time: 2023-05-15 23:25:32 || Emotion: Fear
Time: 2023-05-15 23:25:33 || Emotion: Angry
Time: 2023-05-15 23:25:33 || Emotion: Happy
Time: 2023-05-15 23:25:33 || Emotion: Surprise
Time: 2023-05-15 23:25:33 || Emotion: Happy
Time: 2023-05-15 23:25:33 || Emotion: Fear
Time: 2023-05-15 23:25:34 || Emotion: Fear
Time: 2023-05-15 23:31:35 || Emotion: Fear
Time: 2023-05-15 23:31:35 || Emotion: Fear
Time: 2023-05-15 23:31:35 || Emotion: Fear
Time: 2023-05-15 23:31:35 || Emotion: Fear
Time: 2023-05-15 23:31:35 || Emotion: Fear
Time: 2023-05-15 23:31:36 || Emotion: Fear
Time: 2023-05-15 23:31:36 || Emotion: Fear
Time: 2023-05-15 23:31:36 || Emotion: Fear
